Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Taylor County, Texas",62978,54805,1.8,62978,32505,200300,1269,2023
"Tom Green County, Texas",52674,47638,7.1,52674,28060,198500,1128,2023
"Travis County, Texas",644946,608921,5.3,644946,317631,569000,1770,2023
"Victoria County, Texas",39826,34484,17.5,39826,23318,202400,1164,2023
"Walker County, Texas",31405,26539,7.4,31405,15536,298600,1045,2023
"Webb County, Texas",89651,83045,7.4,89651,54264,200800,990,2023
"Wichita County, Texas",55973,49403,12.1,55973,31701,168100,976,2023
"Williamson County, Texas",275590,264986,2.7,275590,174598,464800,1830,2023
"Wise County, Texas",27986,26319,8.4,27986,21389,318300,1292,2023
"Cache County, Utah",47970,46318,2.0,47970,27935,468300,1275,2023
"Davis County, Utah",123839,118498,4.2,123839,91930,538100,1615,2023
"Salt Lake County, Utah",458842,436181,5.1,458842,285404,556300,1651,2023
"Tooele County, Utah",25785,24796,8.4,25785,20796,459000,1090,2023
"Utah County, Utah",220652,214806,2.3,220652,144454,570100,1560,2023
"Washington County, Utah",85713,72315,18.8,85713,52806,528100,1624,2023
"Weber County, Utah",103221,97783,5.3,103221,72884,437200,1445,2023
"Chittenden County, Vermont",75696,73216,2.0,75696,48519,436100,1659,2023
"Albemarle County, Virginia",50048,46900,2.2,50048,31159,492800,1607,2023
"Arlington County, Virginia",123966,114097,3.2,123966,46852,850900,2223,2023
"Augusta County, Virginia",33341,32169,N,33341,25745,293600,1114,2023
"Bedford County, Virginia",37590,33205,2.3,37590,27208,295100,942,2023
"Chesterfield County, Virginia",148929,143255,6.3,148929,112657,367000,1594,2023
"Fairfax County, Virginia",431006,414946,4.2,431006,280307,727200,2156,2023
"Fauquier County, Virginia",28766,26954,5.9,28766,22106,562100,1473,2023
"Frederick County, Virginia",37878,35341,2.5,37878,29230,387800,1368,2023
"Hanover County, Virginia",45241,43496,1.6,45241,35076,405000,1593,2023
"Henrico County, Virginia",146787,137529,7.8,146787,87032,362400,1593,2023
"James City County, Virginia",34964,33898,N,34964,25878,449300,1646,2023
"Loudoun County, Virginia",149238,145601,4.0,149238,113560,734700,2321,2023
"Montgomery County, Virginia",43361,37229,3.3,43361,20806,303500,1241,2023
"Prince William County, Virginia",163543,158620,4.4,163543,120478,532600,2042,2023
"Roanoke County, Virginia",42398,40176,8.8,42398,30322,296800,1161,2023
"Rockingham County, Virginia",37110,32827,0.4,37110,25280,312700,1047,2023
"Spotsylvania County, Virginia",57053,55487,4.4,57053,44395,421800,1770,2023
"Stafford County, Virginia",55517,53938,1.5,55517,43727,492500,2026,2023
"York County, Virginia",28753,27654,N,28753,18619,414600,1845,2023
"Alexandria city, Virginia",81631,76890,5.2,81631,33245,737900,1954,2023
"Chesapeake city, Virginia",97927,94056,5.8,97927,70659,380100,1628,2023
"Hampton city, Virginia",62616,57645,7.7,62616,32136,258400,1455,2023
"Lynchburg city, Virginia",34308,28916,8.7,34308,14063,247100,1062,2023
"Newport News city, Virginia",82088,76086,6.7,82088,36957,261800,1326,2023
"Norfolk city, Virginia",104467,94056,6.0,104467,41950,298600,1314,2023
"Portsmouth city, Virginia",43369,40661,2.9,43369,22624,268300,1225,2023
"Richmond city, Virginia",115673,104332,8.5,115673,47009,365100,1441,2023
"Roanoke city, Virginia",49356,45061,3.9,49356,23408,215000,1110,2023
"Suffolk city, Virginia",41452,39203,2.1,41452,27510,352000,1460,2023
"Virginia Beach city, Virginia",192041,179291,5.6,192041,118104,384200,1704,2023
"Benton County, Washington",84476,78748,6.9,84476,55124,427200,1327,2023
"Chelan County, Washington",39366,32915,3.0,39366,21497,526200,1139,2023
"Clallam County, Washington",38871,34807,3.3,38871,24852,431000,1094,2023
"Clark County, Washington",210629,202217,4.8,210629,134968,542200,1731,2023
"Cowlitz County, Washington",46785,44694,0.9,46785,30613,405400,1176,2023
"Franklin County, Washington",31902,30733,3.0,31902,20468,392100,1183,2023
"Grant County, Washington",40872,34911,3.0,40872,22113,309500,1057,2023
"Grays Harbor County, Washington",37364,30498,5.3,37364,22817,323200,1041,2023
"Island County, Washington",43115,35431,10.6,43115,27081,595100,1632,2023
"King County, Washington",1021711,949792,6.9,1021711,527938,848300,2043,2023
"Kitsap County, Washington",118685,109652,6.6,118685,77690,564600,1808,2023
"Lewis County, Washington",37051,33672,4.2,37051,25356,395200,1080,2023
"Mason County, Washington",34405,25161,3.7,34405,21169,432400,1368,2023
"Pierce County, Washington",375752,356066,4.6,375752,228971,538000,1802,2023
"Skagit County, Washington",57730,53087,0.5,57730,37441,558300,1667,2023
"Snohomish County, Washington",336964,321835,4.2,336964,217214,697700,1911,2023
"Spokane County, Washington",235146,219230,6.0,235146,140447,421400,1297,2023
"Thurston County, Washington",126658,119786,5.8,126658,79682,493100,1776,2023
"Whatcom County, Washington",105216,93449,2.7,105216,58907,611200,1497,2023
"Yakima County, Washington",93422,89414,2.5,93422,55281,318900,1119,2023
"Berkeley County, West Virginia",55199,51094,3.2,55199,37139,271600,1269,2023
"Cabell County, West Virginia",45986,39720,6.0,45986,24055,175100,859,2023
"Harrison County, West Virginia",30586,27161,10.5,30586,19729,174900,824,2023
"Kanawha County, West Virginia",90364,76963,8.1,90364,54828,138000,839,2023
"Monongalia County, West Virginia",49933,44307,8.4,49933,25483,261500,913,2023
"Raleigh County, West Virginia",34624,28275,9.0,34624,20637,158800,893,2023
"Wood County, West Virginia",40271,36936,8.5,40271,27457,163700,736,2023
"Brown County, Wisconsin",116085,112027,2.3,116085,72363,273900,1033,2023
"Chippewa County, Wisconsin",29610,27846,N,29610,22283,260900,873,2023
"Dane County, Wisconsin",265180,257528,2.4,265180,142461,393500,1378,2023
"Dodge County, Wisconsin",38494,35795,2.4,38494,25656,242200,968,2023
"Eau Claire County, Wisconsin",47186,44769,6.3,47186,27397,269000,1041,2023
"Fond du Lac County, Wisconsin",46157,44262,2.8,46157,31285,232900,964,2023
"Jefferson County, Wisconsin",37061,34914,4.3,37061,26208,283700,953,2023
"Kenosha County, Wisconsin",73779,69907,5.1,73779,46463,265500,1212,2023
"La Crosse County, Wisconsin",54019,51283,0.9,54019,31641,272200,1009,2023
"Manitowoc County, Wisconsin",38143,35669,8.8,38143,27397,199800,752,2023
"Marathon County, Wisconsin",60979,58104,3.6,60979,42380,215700,977,2023
"Milwaukee County, Wisconsin",423914,388165,6.7,423914,200034,232500,1084,2023
"Outagamie County, Wisconsin",80970,78027,2.7,80970,56009,276500,1101,2023
"Ozaukee County, Wisconsin",40045,38030,7.7,40045,28132,403300,988,2023
"Portage County, Wisconsin",32017,30620,2.0,32017,20552,258900,948,2023
"Racine County, Wisconsin",84789,79066,5.6,84789,57311,253200,1038,2023
"Rock County, Wisconsin",71575,66220,3.3,71575,46707,247500,973,2023
"St. Croix County, Wisconsin",39417,38606,1.9,39417,30292,375000,1478,2023
"Sauk County, Wisconsin",31695,28295,4.5,31695,20032,271300,1076,2023
"Sheboygan County, Wisconsin",52869,49852,5.3,52869,35455,239700,895,2023
"Walworth County, Wisconsin",54079,43005,6.8,54079,30447,315100,1116,2023
"Washington County, Wisconsin",59602,56641,3.2,59602,43843,356800,1174,2023
"Waukesha County, Wisconsin",176107,168150,4.4,176107,126410,390500,1330,2023
"Winnebago County, Wisconsin",77742,71563,5.6,77742,47394,222400,929,2023
"Wood County, Wisconsin",34822,32099,5.4,34822,23603,174500,766,2023
"Laramie County, Wyoming",46692,44460,4.2,46692,30206,357300,1143,2023
"Natrona County, Wyoming",37538,34332,7.4,37538,25160,267300,1063,2023
"Arecibo Municipio, Puerto Rico",42670,33466,2.4,42670,22830,114600,536,2023
"Bayamón Municipio, Puerto Rico",88123,76203,1.9,88123,53562,144900,662,2023
"Caguas Municipio, Puerto Rico",61113,51579,2.4,61113,35192,152900,590,2023
"Carolina Municipio, Puerto Rico",79639,63447,4.8,79639,45987,155700,609,2023
"Guaynabo Municipio, Puerto Rico",42397,34184,4.6,42397,23345,235900,1079,2023
"Mayagüez Municipio, Puerto Rico",41887,31111,7.4,41887,14182,107000,447,2023
"Ponce Municipio, Puerto Rico",69133,56772,1.3,69133,34951,100600,526,2023
"San Juan Municipio, Puerto Rico",199788,150969,7.6,199788,81795,175300,607,2023
"Toa Alta Municipio, Puerto Rico",27530,24486,3.3,27530,20218,176800,566,2023
"Toa Baja Municipio, Puerto Rico",35996,30304,3.5,35996,21741,148100,772,2023
"Trujillo Alto Municipio, Puerto Rico",30604,27299,3.6,30604,20827,167800,749,2023
