Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Broward County, Florida",868151,758853,6.5,868151,485158,439100,1961,2023
"Charlotte County, Florida",123512,90367,8.2,123512,75652,365900,1520,2023
"Citrus County, Florida",86456,75745,7.6,86456,62468,278800,1138,2023
"Clay County, Florida",90767,86946,1.6,90767,64809,338000,1619,2023
"Collier County, Florida",245472,166192,9.5,245472,128374,595500,2039,2023
"Columbia County, Florida",30572,27280,9.8,30572,20692,230300,998,2023
"Duval County, Florida",464816,428020,8.3,464816,250755,321400,1516,2023
"Escambia County, Florida",151217,131375,8.9,151217,88003,287000,1394,2023
"Flagler County, Florida",63900,56177,11.1,63900,46534,400400,1749,2023
"Hernando County, Florida",94190,85911,3.1,94190,72313,305100,1392,2023
"Highlands County, Florida",59245,47278,3.3,59245,37852,208900,1073,2023
"Hillsborough County, Florida",644916,593029,7.6,644916,360020,396200,1757,2023
"Indian River County, Florida",87613,72833,9.2,87613,58141,370600,1409,2023
"Lake County, Florida",192113,172803,9.2,192113,132280,321700,1644,2023
"Lee County, Florida",452102,326338,11.3,452102,245460,391700,1797,2023
"Leon County, Florida",139944,124867,5.3,139944,64552,311800,1284,2023
"Manatee County, Florida",228846,190091,11.5,228846,141413,424000,1771,2023
"Marion County, Florida",194389,171369,10.1,194389,133047,265100,1365,2023
"Martin County, Florida",84168,69169,9.5,84168,54253,438800,1585,2023
"Miami-Dade County, Florida",1104630,985935,5.1,1104630,532611,488600,1864,2023
"Monroe County, Florida",55132,32559,19.4,55132,22790,806100,2091,2023
"Nassau County, Florida",46601,41045,12.1,46601,33298,411500,1546,2023
"Okaloosa County, Florida",104826,86541,10.4,104826,59803,363800,1710,2023
"Orange County, Florida",599436,556557,7.1,599436,312046,405700,1815,2023
"Osceola County, Florida",179286,154722,8.2,179286,106076,373300,1802,2023
"Palm Beach County, Florida",725849,605132,9.4,725849,434360,491500,1982,2023
"Pasco County, Florida",279605,239952,8.5,279605,185508,337700,1540,2023
"Pinellas County, Florida",522006,439896,7.1,522006,304510,382400,1776,2023
"Polk County, Florida",352635,306915,3.1,352635,219055,296300,1403,2023
"Putnam County, Florida",38312,32487,2.2,38312,24999,160200,964,2023
"St. Johns County, Florida",141399,126240,4.6,141399,103735,534600,2037,2023
"St. Lucie County, Florida",166826,145735,8.1,166826,114715,371400,1729,2023
"Santa Rosa County, Florida",81814,72969,4.7,81814,60101,342100,1269,2023
"Sarasota County, Florida",273002,218010,6.0,273002,166979,450300,1940,2023
"Seminole County, Florida",202787,189580,7.5,202787,119678,404100,1803,2023
"Sumter County, Florida",88692,73238,12.0,88692,64378,411000,1347,2023
"Volusia County, Florida",287090,243904,9.9,287090,179401,341900,1480,2023
"Walton County, Florida",63654,35435,27.4,63654,28606,438000,1720,2023
"Barrow County, Georgia",33304,32217,5.0,33304,25795,300800,1285,2023
"Bartow County, Georgia",46909,42225,7.0,46909,31793,309400,1383,2023
"Bibb County, Georgia",71965,60919,9.7,71965,28412,199800,1038,2023
"Bulloch County, Georgia",34623,30988,0.0,34623,16843,240200,927,2023
"Carroll County, Georgia",48629,44515,5.3,48629,31863,280800,1174,2023
"Catoosa County, Georgia",28809,26248,8.9,28809,20340,232000,971,2023
"Chatham County, Georgia",139403,123272,4.6,139403,69753,320800,1485,2023
"Cherokee County, Georgia",109267,102811,10.8,109267,81590,450800,1857,2023
"Clarke County, Georgia",59436,55505,4.7,59436,23635,318700,1281,2023
"Clayton County, Georgia",116070,106914,9.7,116070,56092,245900,1440,2023
"Cobb County, Georgia",316691,299074,6.1,316691,201365,432000,1740,2023
"Columbia County, Georgia",63044,57807,10.3,63044,47098,327700,1339,2023
"Coweta County, Georgia",60294,57325,4.4,60294,45565,383000,1546,2023
"DeKalb County, Georgia",333374,291423,13.4,333374,177122,368200,1707,2023
"Dougherty County, Georgia",40629,35052,6.3,40629,15476,144500,856,2023
"Douglas County, Georgia",57156,53350,6.0,57156,36464,328400,1594,2023
"Effingham County, Georgia",26667,25452,0.0,26667,20570,282800,1170,2023
"Fayette County, Georgia",47096,45095,7.2,47096,36258,462900,1712,2023
"Floyd County, Georgia",41150,37835,7.9,41150,23965,221100,993,2023
"Forsyth County, Georgia",95254,90635,5.9,95254,76067,587300,2166,2023
"Fulton County, Georgia",515478,458812,11.2,515478,256837,477500,1775,2023
"Glynn County, Georgia",44454,37904,6.0,44454,25077,337200,1267,2023
"Gwinnett County, Georgia",345869,330254,5.7,345869,222382,395500,1847,2023
"Hall County, Georgia",83214,76413,3.1,83214,51415,357600,1360,2023
"Henry County, Georgia",94070,89313,6.2,94070,66431,334600,1838,2023
"Houston County, Georgia",71609,65688,5.7,71609,43537,221200,1179,2023
"Jackson County, Georgia",32205,30300,1.8,32205,22841,363200,1111,2023
"Liberty County, Georgia",28200,24654,9.3,28200,13554,226200,1236,2023
"Lowndes County, Georgia",52798,48322,7.0,52798,27298,221800,1029,2023
"Muscogee County, Georgia",92934,82007,4.1,92934,41407,198200,1004,2023
"Newton County, Georgia",44452,42633,7.7,44452,31537,295800,1564,2023
"Paulding County, Georgia",64976,61401,3.6,64976,48456,354000,1798,2023
"Richmond County, Georgia",93769,77202,15.1,93769,40621,197100,1149,2023
"Rockdale County, Georgia",36877,35459,1.3,36877,26973,328200,1553,2023
"Spalding County, Georgia",29209,26898,9.0,29209,17082,240400,1073,2023
"Troup County, Georgia",30080,28232,3.1,30080,15915,241000,1126,2023
"Walker County, Georgia",29844,26020,5.7,29844,20413,219800,796,2023
"Walton County, Georgia",38548,37132,1.9,38548,29507,357200,1402,2023
"Whitfield County, Georgia",40266,37316,2.1,40266,23359,243400,935,2023
"Hawaii County, Hawaii",91549,73933,16.5,91549,55102,528800,1492,2023
"Honolulu County, Hawaii",376177,338496,8.3,376177,200110,899300,2033,2023
"Kauai County, Hawaii",30637,24621,1.4,30637,17326,888500,1816,2023
"Maui County, Hawaii",73588,56848,4.9,73588,35883,934500,1828,2023
"Ada County, Idaho",218300,209863,3.3,218300,146832,525600,1599,2023
"Bannock County, Idaho",36735,33729,3.2,36735,23435,341800,1068,2023
"Bonneville County, Idaho",48469,45245,5.9,48469,31667,374800,1182,2023
"Canyon County, Idaho",92918,88688,3.9,92918,67525,378600,1366,2023
"Kootenai County, Idaho",82654,74253,4.7,82654,54466,556500,1426,2023
"Twin Falls County, Idaho",37217,35050,4.0,37217,23789,329000,1142,2023
"Champaign County, Illinois",96007,89155,8.1,96007,48422,216100,987,2023
"Cook County, Illinois",2280886,2117084,3.3,2280886,1223799,313700,1386,2023
"DeKalb County, Illinois",41856,40202,1.2,41856,25644,244000,1037,2023
"DuPage County, Illinois",367832,353618,3.1,367832,259443,383100,1672,2023
"Kane County, Illinois",191886,185921,4.4,191886,143872,324000,1479,2023
"Kankakee County, Illinois",45487,41130,5.9,45487,29126,182900,1058,2023
"Kendall County, Illinois",47157,44934,11.1,47157,38313,326700,1714,2023
"Lake County, Illinois",271341,260243,4.1,271341,199787,340400,1406,2023
"LaSalle County, Illinois",49866,44319,4.1,49866,33166,154300,885,2023
"McHenry County, Illinois",122120,119150,1.4,122120,99130,308300,1369,2023
"McLean County, Illinois",75631,71060,5.0,75631,46522,211000,1013,2023
"Macon County, Illinois",49594,43598,13.0,49594,30175,115300,822,2023
"Madison County, Illinois",119438,110909,4.2,119438,82626,173300,999,2023
"Peoria County, Illinois",84876,77525,12.1,84876,54593,153000,938,2023
"Rock Island County, Illinois",66763,62396,6.2,66763,45214,144100,845,2023
"St. Clair County, Illinois",116260,102701,5.3,116260,67790,185400,1077,2023
"Sangamon County, Illinois",93564,85477,8.9,93564,59943,181700,956,2023
"Tazewell County, Illinois",58832,54228,2.8,58832,41412,162000,869,2023
"Vermilion County, Illinois",34269,30703,5.0,34269,20144,96100,850,2023
"Will County, Illinois",255998,246145,2.5,255998,203903,322200,1527,2023
"Williamson County, Illinois",32200,29509,1.7,32200,19117,155900,980,2023
"Winnebago County, Illinois",125024,115540,5.8,125024,74404,161400,988,2023
"Allen County, Indiana",168065,160153,5.3,168065,108495,226000,957,2023
"Bartholomew County, Indiana",35878,33777,4.1,35878,23575,253900,1169,2023
"Boone County, Indiana",30487,29659,N,30487,22695,369300,1303,2023
"Clark County, Indiana",56289,52156,7.4,56289,36858,232400,1109,2023
"Delaware County, Indiana",51776,44361,17.4,51776,29177,139700,878,2023
"Elkhart County, Indiana",80903,73439,16.8,80903,52525,214000,1079,2023
"Floyd County, Indiana",35042,31833,13.3,35042,22990,258700,991,2023
"Grant County, Indiana",29926,27670,2.9,29926,19503,121800,734,2023
"Hamilton County, Indiana",149802,140850,7.3,149802,106839,419800,1510,2023
"Hancock County, Indiana",35581,34114,N,35581,26281,288900,1166,2023
"Hendricks County, Indiana",70942,69367,2.2,70942,54988,306100,1431,2023
"Howard County, Indiana",40029,35551,5.1,40029,23926,169300,949,2023
"Johnson County, Indiana",66982,64079,3.4,66982,46849,286900,1249,2023
"Kosciusko County, Indiana",39227,32268,9.5,39227,24709,227800,1010,2023
"Lake County, Indiana",218648,197595,4.7,218648,144467,236800,1116,2023
"LaPorte County, Indiana",50199,45725,5.7,50199,33972,196300,994,2023
"Madison County, Indiana",59555,54317,6.6,59555,39094,163200,935,2023
"Marion County, Indiana",442920,408293,4.3,442920,234204,238700,1187,2023
"Monroe County, Indiana",66763,61400,7.7,66763,31917,301400,1130,2023
"Morgan County, Indiana",30401,29202,N,30401,23675,262700,951,2023
"Porter County, Indiana",73144,68120,3.5,73144,52036,280500,1127,2023
"St. Joseph County, Indiana",118907,106607,4.7,118907,73541,195000,1077,2023
"Tippecanoe County, Indiana",81781,76240,5.1,81781,41819,246800,1131,2023
"Vanderburgh County, Indiana",86023,77472,7.5,86023,49577,187300,938,2023
"Vigo County, Indiana",46950,42219,6.6,46950,26678,142800,927,2023
"Warrick County, Indiana",27297,25278,3.8,27297,20673,262200,1021,2023
"Wayne County, Indiana",30773,26843,8.9,30773,18353,136100,825,2023
"Black Hawk County, Iowa",59040,53791,9.4,59040,35126,180100,942,2023
"Dallas County, Iowa",46662,44043,5.8,46662,29204,351100,1430,2023
"Dubuque County, Iowa",43566,42889,N,43566,31794,231700,868,2023
"Johnson County, Iowa",69460,64076,7.4,69460,37546,310700,1089,2023
"Linn County, Iowa",103483,96058,5.8,103483,69644,222900,942,2023
"Polk County, Iowa",222344,207757,4.1,222344,139808,271300,1137,2023
"Pottawattamie County, Iowa",40213,38289,1.6,40213,27008,216200,902,2023
"Scott County, Iowa",78881,75239,6.6,78881,52393,243000,993,2023
"Story County, Iowa",42166,38771,3.6,42166,21616,260600,991,2023
"Woodbury County, Iowa",43622,40348,4.2,43622,27269,182900,1025,2023
"Butler County, Kansas",27534,25801,4.9,27534,20407,222200,992,2023
"Douglas County, Kansas",54095,51013,5.4,54095,24942,305600,1056,2023
"Johnson County, Kansas",261517,250337,4.9,261517,166940,387700,1427,2023
"Leavenworth County, Kansas",32189,30246,9.2,32189,22003,275500,1175,2023
"Riley County, Kansas",30892,27875,3.3,30892,12837,221500,1095,2023
"Sedgwick County, Kansas",229571,211238,4.7,229571,131125,209700,974,2023
"Shawnee County, Kansas",81377,73980,12.4,81377,49116,183200,962,2023
"Wyandotte County, Kansas",69011,62238,4.8,69011,38043,177000,1113,2023
"Boone County, Kentucky",53958,51702,7.9,53958,38703,285600,1397,2023
"Bullitt County, Kentucky",34059,32321,5.7,34059,27507,260500,907,2023
"Campbell County, Kentucky",42459,40425,7.6,42459,28029,268500,1292,2023
"Christian County, Kentucky",29406,25768,2.1,29406,13898,175300,1032,2023
"Daviess County, Kentucky",44685,42164,2.6,44685,26526,200500,904,2023
"Fayette County, Kentucky",150398,141680,2.8,150398,79028,294300,1145,2023
"Hardin County, Kentucky",48599,45909,3.8,48599,29230,237200,952,2023
"Jefferson County, Kentucky",360822,331206,7.1,360822,210890,250800,1123,2023
"Kenton County, Kentucky",73634,67180,11.5,73634,47244,251500,1083,2023
"McCracken County, Kentucky",32364,28934,0.0,32364,18711,179600,764,2023
"Madison County, Kentucky",41197,37672,4.4,41197,23088,253100,804,2023
"Oldham County, Kentucky",24189,23415,0.0,24189,21054,387500,1032,2023
"Pulaski County, Kentucky",31793,26203,3.2,31793,18997,189500,850,2023
"Warren County, Kentucky",61505,57773,5.0,61505,33693,268700,972,2023
"Ascension Parish, Louisiana",53078,48526,7.3,53078,40117,279900,1176,2023
"Bossier Parish, Louisiana",57327,54151,5.5,57327,38604,211500,1163,2023
"Caddo Parish, Louisiana",112790,98864,8.0,112790,60168,170500,996,2023
"Calcasieu Parish, Louisiana",96567,79222,20.5,96567,57356,221500,1081,2023
"East Baton Rouge Parish, Louisiana",207672,177309,11.7,207672,102474,253300,1131,2023
"Iberia Parish, Louisiana",31414,26439,4.9,31414,18164,147500,836,2023
"Jefferson Parish, Louisiana",194632,176635,7.0,194632,111394,259100,1135,2023
"Lafayette Parish, Louisiana",114012,102227,4.3,114012,67512,244400,972,2023
"Lafourche Parish, Louisiana",41549,38393,5.2,41549,30115,195200,1088,2023
"Livingston Parish, Louisiana",61021,55653,4.8,61021,45782,223600,1003,2023
"Orleans Parish, Louisiana",196556,155005,12.7,196556,86622,306400,1203,2023
"Ouachita Parish, Louisiana",71700,63158,5.9,71700,39347,195300,940,2023
"Rapides Parish, Louisiana",58910,50301,6.1,58910,30328,170900,929,2023
"St. Landry Parish, Louisiana",37382,34635,2.0,37382,25868,114100,658,2023
"St. Tammany Parish, Louisiana",115706,106164,10.0,115706,83580,286500,1259,2023
"Tangipahoa Parish, Louisiana",61549,54627,3.6,61549,38056,218300,987,2023
"Terrebonne Parish, Louisiana",47298,42203,3.2,47298,31610,185300,1043,2023
"Androscoggin County, Maine",50828,48239,1.7,50828,31816,263000,997,2023
"Aroostook County, Maine",38547,32671,2.3,38547,24899,154400,859,2023
"Cumberland County, Maine",155247,134326,2.7,155247,95400,470600,1609,2023
"Kennebec County, Maine",64039,55601,3.0,64039,40369,253200,1055,2023
"Penobscot County, Maine",76102,66556,6.2,76102,47597,228600,1105,2023
"York County, Maine",116593,93995,7.6,116593,71349,422600,1473,2023
"Allegany County, Maryland",32654,28187,12.6,32654,20849,146900,841,2023
"Anne Arundel County, Maryland",237823,226503,5.6,237823,169190,460600,1998,2023
"Baltimore County, Maryland",350593,331624,6.0,350593,222839,345900,1597,2023
"Calvert County, Maryland",36309,33642,9.9,36309,29063,473400,1760,2023
"Carroll County, Maryland",66747,64081,9.3,66747,55130,433300,1529,2023
"Cecil County, Maryland",44548,41195,10.0,44548,31689,327500,1196,2023
"Charles County, Maryland",64660,62532,7.2,64660,52310,410000,1815,2023
"Frederick County, Maryland",111334,107332,3.4,111334,82330,462500,1719,2023
"Harford County, Maryland",106421,103909,1.9,106421,82151,388400,1451,2023
"Howard County, Maryland",126188,121399,6.4,126188,85036,603400,2053,2023
"Montgomery County, Maryland",406718,392629,2.9,406718,252963,636200,1984,2023
"Prince George's County, Maryland",369065,351460,6.3,369065,225131,422300,1722,2023
"St. Mary's County, Maryland",46644,43227,8.2,46644,31579,403900,1682,2023
"Washington County, Maryland",64486,59404,5.7,64486,41172,283700,1135,2023
"Wicomico County, Maryland",44366,39679,4.7,44366,23255,257300,1311,2023
"Baltimore city, Maryland",294353,259385,2.8,294353,124163,241900,1239,2023
"Barnstable County, Massachusetts",166909,109475,2.1,166909,85922,634700,1604,2023
"Berkshire County, Massachusetts",70074,58807,3.3,70074,40464,298200,1074,2023
"Bristol County, Massachusetts",245727,233990,3.0,245727,144367,459700,1269,2023
"Essex County, Massachusetts",330832,313787,1.2,330832,200210,624700,1726,2023
"Franklin County, Massachusetts",34560,32430,1.9,34560,22130,329300,1164,2023
"Hampden County, Massachusetts",197644,184698,4.3,197644,115079,302100,1136,2023
"Hampshire County, Massachusetts",67130,61802,7.3,67130,40448,380800,1355,2023
"Middlesex County, Massachusetts",666703,632721,3.9,666703,388553,716100,2193,2023
"Norfolk County, Massachusetts",297313,286649,5.3,297313,195314,686500,2081,2023
"Plymouth County, Massachusetts",219732,203356,3.0,219732,158639,568500,1762,2023
"Suffolk County, Massachusetts",361135,332924,3.8,361135,122262,683900,2114,2023
"Worcester County, Massachusetts",357234,336660,4.9,357234,220619,433900,1449,2023
"Allegan County, Michigan",53094,46317,4.4,53094,39170,264800,1098,2023
"Bay County, Michigan",48700,44417,4.3,48700,34497,156200,811,2023
"Berrien County, Michigan",77526,65129,3.2,77526,48001,237900,936,2023
"Calhoun County, Michigan",59675,54568,9.1,59675,39504,163500,906,2023
"Clinton County, Michigan",33526,31653,12.7,33526,25777,276500,1040,2023
"Eaton County, Michigan",47888,45181,5.8,47888,33940,226200,997,2023
"Genesee County, Michigan",184257,164086,4.0,184257,118219,181600,928,2023
"Grand Traverse County, Michigan",47602,42544,4.1,47602,32754,343200,1357,2023
"Ingham County, Michigan",126694,117197,7.6,126694,71007,190900,1055,2023
"Ionia County, Michigan",24942,23600,7.6,24942,18771,221500,816,2023
"Jackson County, Michigan",69444,61851,7.9,69444,47486,203700,964,2023
"Kalamazoo County, Michigan",115178,107893,3.0,115178,66547,251200,1058,2023
"Kent County, Michigan",271006,257898,4.3,271006,181848,297400,1270,2023
"Lapeer County, Michigan",37376,34494,0.0,37376,30109,234000,988,2023
"Lenawee County, Michigan",43925,40142,4.5,43925,32240,198200,922,2023
"Livingston County, Michigan",81339,77304,7.3,81339,68559,347800,1231,2023
"Macomb County, Michigan",375223,359464,4.3,375223,273209,246600,1229,2023
