ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00641,72113071200,UTUADO,PR,0.000907075,0.000000000,0.000000000,0.000838535
00641,72141957400,UTUADO,PR,0.067627494,0.067292645,0.063953488,0.067548682
00641,72113070513,UTUADO,PR,0.003023584,0.000000000,0.000000000,0.002795118
00641,72141957200,UTUADO,PR,0.011791977,0.000000000,0.000000000,0.010900960
00641,72141957500,UTUADO,PR,0.675166297,0.774647887,0.697674419,0.681449734
00641,72141957000,UTUADO,PR,0.097762548,0.014084507,0.000000000,0.091214013
00641,72141957300,UTUADO,PR,0.136061278,0.134585290,0.238372093,0.137612969
00641,72141957100,UTUADO,PR,0.000907075,0.009389671,0.000000000,0.001397559
00641,72141957600,UTUADO,PR,0.006752671,0.000000000,0.000000000,0.006242430
00646,72051540500,DORADO,PR,0.275807410,0.253374870,0.099337748,0.272839126
00646,72051540100,DORADO,PR,0.045175352,0.012461059,0.079470199,0.043555829
00646,72137121702,DORADO,PR,0.000924642,0.000000000,0.000000000,0.000861273
00646,72143550500,DORADO,PR,0.001254871,0.001038422,0.000000000,0.001230391
00646,72135510505,DORADO,PR,0.000858596,0.001038422,0.000000000,0.000861273
00646,72143550602,DORADO,PR,0.000396275,0.000000000,0.000000000,0.000369117
00646,72051540200,DORADO,PR,0.153688660,0.123572170,0.158940397,0.151953245
00646,72143550101,DORADO,PR,0.001320917,0.002076843,0.000000000,0.001353430
00646,72051540402,DORADO,PR,0.164255994,0.102803738,0.198675497,0.160935097
00646,72051540600,DORADO,PR,0.054223631,0.009345794,0.019867550,0.051245771
00646,72051540700,DORADO,PR,0.046694406,0.006230530,0.000000000,0.043863427
00646,72051540401,DORADO,PR,0.191004557,0.171339564,0.059602649,0.188618886
00646,72051540300,DORADO,PR,0.064394690,0.311526480,0.384105960,0.082005537
00646,72137122400,DORADO,PR,0.000000000,0.005192108,0.000000000,0.000307598
00647,72055961400,ENSENADA,PR,0.411327231,0.450000000,0.235294118,0.410526316
00647,72055961300,ENSENADA,PR,0.001144165,0.000000000,0.000000000,0.001108033
00647,72055961500,ENSENADA,PR,0.579805492,0.550000000,0.764705882,0.580886427
00647,72121960700,ENSENADA,PR,0.004004577,0.000000000,0.000000000,0.003878116
00647,72055961200,ENSENADA,PR,0.003718535,0.000000000,0.000000000,0.003601108
00650,72013300500,FLORIDA,PR,0.000539763,0.000000000,0.000000000,0.000522193
00650,72013300102,FLORIDA,PR,0.000539763,0.000000000,0.000000000,0.000522193
00650,72054580100,FLORIDA,PR,0.083303347,0.272151899,0.413793103,0.090165361
00650,72054580200,FLORIDA,PR,0.915617128,0.727848101,0.586206897,0.908790252
00652,72013300101,GARROCHALES,PR,0.817061611,1.000000000,1.000000000,0.819288390
00652,72013300102,GARROCHALES,PR,0.182938389,0.000000000,0.000000000,0.180711610
00653,72055961200,GUANICA,PR,0.113979216,0.126394052,0.000000000,0.112867531
00653,72055961400,GUANICA,PR,0.004022796,0.000000000,0.000000000,0.003793867
00653,72055961100,GUANICA,PR,0.043915521,0.014869888,0.000000000,0.042048688
00653,72055961300,GUANICA,PR,0.828695944,0.858736059,1.000000000,0.832437559
00653,72055960900,GUANICA,PR,0.006034194,0.000000000,0.000000000,0.005690800
00653,72153750300,GUANICA,PR,0.003352330,0.000000000,0.000000000,0.003161555
00656,72059740400,GUAYANILLA,PR,0.065195203,0.085185185,0.032786885,0.065613906
00656,72059740102,GUAYANILLA,PR,0.001020669,0.000000000,0.000000000,0.000979312
00656,72059740200,GUAYANILLA,PR,0.046312835,0.000000000,0.049180328,0.044803526
00656,72059740300,GUAYANILLA,PR,0.887471294,0.914814815,0.918032787,0.888603256
00659,72013301700,HATILLO,PR,0.006738208,0.001199041,0.000000000,0.006316438
00659,72065310500,HATILLO,PR,0.002495633,0.063549161,0.094488189,0.007317825
00659,72065310600,HATILLO,PR,0.004242575,0.000000000,0.000000000,0.003928516
00659,72013301100,HATILLO,PR,0.004325763,0.000000000,0.000000000,0.004005546
00659,72065310200,HATILLO,PR,0.300058231,0.443645084,0.535433071,0.311585272
00659,72065310100,HATILLO,PR,0.112137093,0.400479616,0.314960630,0.132645201
00659,72013301000,HATILLO,PR,0.001164629,0.001199041,0.000000000,0.001155446
00659,72065310400,HATILLO,PR,0.003244322,0.001199041,0.000000000,0.003081189
00659,72065310300,HATILLO,PR,0.565593545,0.088729017,0.055118110,0.529964566
00660,72067820101,HORMIGUEROS,PR,0.157638212,0.117469880,0.120000000,0.155392092
00660,72067820300,HORMIGUEROS,PR,0.361509539,0.451807229,0.440000000,0.366478392
00660,72067820400,HORMIGUEROS,PR,0.121013786,0.033132530,0.190000000,0.118087482
00660,72097082012,HORMIGUEROS,PR,0.000557025,0.000000000,0.000000000,0.000525417
00660,72067820102,HORMIGUEROS,PR,0.219328784,0.174698795,0.030000000,0.214895573
00660,72067820500,HORMIGUEROS,PR,0.139952653,0.222891566,0.220000000,0.144621043
00662,72071410401,ISABELA,PR,0.096174256,0.042553191,0.055147059,0.092241621
00662,72005400100,ISABELA,PR,0.001212918,0.002934703,0.000000000,0.001307068
00662,72071410704,ISABELA,PR,0.045484409,0.097578870,0.036764706,0.048688264
00662,72071410600,ISABELA,PR,0.020265831,0.000000000,0.007352941,0.018812436
00662,72071410404,ISABELA,PR,0.082528933,0.100513573,0.055147059,0.083325553
00662,72071410300,ISABELA,PR,0.098953859,0.148202494,0.209558824,0.103491737
00662,72115330300,ISABELA,PR,0.000859150,0.000000000,0.000000000,0.000793577
00662,72071410701,ISABELA,PR,0.056501744,0.112986060,0.058823529,0.060125105
